Time (ms) - X (V);Amplitude - X (V);Time (ms) - Y (V);Amplitude - Y (V);Time (ms) - Z (V);Amplitude - Z (V);Time (ms) - LED (V);Amplitude - LED (V);Time (ms) - Camera;Amplitude - Camera;Time (ms) - UV;Amplitude - UV
0;5;0;5;0;0;0;0;0;0;0;0
0;5;0;5;0;0;0;0;0;0;0;0
0;5;0;5;0;0;0;0;0;0;0;0
0;5;0;5;0;0;0;0;0;0;0;0
0;5;0;5;0;0;0;0;0;0;0;0
0;5;0;5;0;0;0;0;0;0;0;0
1;5;1;5;1;0;1;0;1;0;1;0
1;5;1;5;1;0;1;0;1;0;1;0
1;5;1;5;1;0;1;0;1;0;1;0
1;5;1;5;1;0;1;0;1;0;1;0
1;5;1;5;1;0;1;0;1;0;1;0
1;5;1;5;1;0;1;0;1;0;1;0
1;5;1;5;1;0;1;0;1;0;1;0
1;5;1;5;1;0;1;0;1;0;1;0
1;5;1;5;1;0;1;0;1;0;1;0
2;5;2;5;2;0;2;0;2;0;2;0
2;5;2;5;2;0;2;0;2;0;2;0
2;5;2;5;2;0;2;0;2;0;2;0
2;5;2;5;2;0;2;0;2;0;2;0
2;5;2;5;2;0;2;0;2;0;2;0
2;5;2;5;2;0;2;0;2;0;2;0
2;5;2;5;2;0;2;0;2;0;2;0
2;5;2;5;2;0;2;0;2;0;2;0
2;5;2;5;2;0;2;0;2;0;2;0
2;5;2;5;2;0;2;0;2;0;2;0
2;5;2;5;2;0;2;0;2;0;2;0
3;5;3;5;3;0;3;0;3;0;3;0
3;5;3;5;3;0;3;0;3;0;3;0
3;5;3;5;3;0;3;0;3;0;3;0
3;5;3;5;3;0;3;0;3;0;3;0
3;5;3;5;3;0;3;0;3;0;3;0
3;5;3;5;3;0;3;0;3;0;3;0
3;5;3;5;3;0;3;0;3;0;3;0
3;5;3;5;3;0;3;0;3;0;3;0
3;5;3;5;3;0;3;0;3;0;3;0
4;5;4;5;4;0;4;0;4;0;4;0
4;5;4;5;4;0;4;0;4;0;4;0
4;5;4;5;4;0;4;0;4;0;4;0
4;5;4;5;4;0;4;0;4;0;4;0
4;5;4;5;4;0;4;0;4;0;4;0
4;5;4;5;4;0;4;0;4;0;4;0
4;5;4;5;4;0;4;0;4;0;4;0
4;5;4;5;4;0;4;0;4;0;4;0
4;5;4;5;4;0;4;0;4;0;4;0
4;5;4;5;4;0;4;0;4;0;4;0
4;5;4;5;4;0;4;0;4;0;4;0
5;5;5;5;5;0;5;0;5;0;5;0
5;5;5;5;5;0;5;0;5;0;5;0
5;5;5;5;5;0;5;0;5;0;5;0
5;5;5;5;5;0;5;0;5;0;5;0
5;5;5;5;5;0;5;0;5;0;5;0
5;5;5;5;5;0;5;0;5;0;5;0
5;5;5;5;5;0;5;0;5;0;5;0
5;5;5;5;5;0;5;0;5;0;5;0
5;5;5;5;5;0;5;0;5;0;5;0
6;5;6;5;6;0;6;0;6;0;6;0
6;5;6;5;6;0;6;0;6;0;6;0
6;5;6;5;6;0;6;0;6;0;6;0
6;5;6;5;6;0;6;0;6;0;6;0
6;5;6;5;6;0;6;0;6;0;6;0
6;5;6;5;6;0;6;0;6;0;6;0
6;5;6;5;6;0;6;0;6;0;6;0
6;5;6;5;6;0;6;0;6;0;6;0
6;5;6;5;6;0;6;0;6;0;6;0
6;5;6;5;6;0;6;0;6;0;6;0
6;5;6;5;6;0;6;0;6;0;6;0
7;5;7;5;7;0;7;0;7;0;7;0
7;5;7;5;7;0;7;0;7;0;7;0
